q_idx,query,n_dupes,stratum,is_NON_OP
47,CH Insignia Carolina Herrera for women,1,contained,1
48,CH Men Hot! Hot! Hot! — Carolina Herrera,1,contained,1
49,CH Men Prive — Carolina Herrera,1,partial,1
50,Chic — Carolina Herrera,1,contained,1
51,Chloé Roses de Chloé,1,prefix,0
52,Chocolate Greedy — Montale,1,prefix,0
53,CK be — Calvin Klein,1,subseq,0
54,Clinique Happy — Clinique,1,partial,1
55,Coco Eau de Parfum — Chanel,1,prefix,0
56,Cool Play by Lacoste Fragrances,1,prefix,0
57,CR7 Cristiano Ronaldo,1,contained,1
58,Cœur Battant by Louis Vuitton,1,contained,1
59,Dalal — Al Rehab / ALREHAB Perfumes,1,prefix,0
60,Dans la Peau Louis Vuitton for women,1,partial,1
61,Dark Temptation — AXE,1,contained,1
62,Divine Oud Roberto Cavalli,1,prefix,0
63,DKNY Be Delicious Donna Karan for women,1,prefix,0
64,DKNY Be Delicious — Donna Karan,1,partial,1
65,Dolly Girl by Anna Sui,1,contained,1
66,Drakkar Noir Guy Laroche,1,prefix,0
67,Dunhill Black — Alfred Dunhill,1,contained,1
68,Dunhill Desire Blue by Alfred Dunhill,1,prefix,0
69,Dunhill London — Alfred Dunhill,1,partial,1
70,Eau Parfumee au The Noir Bvlgari,1,prefix,0
71,EGE / ΑΙΓΑΙΟ Nishane,1,prefix,0
72,Elie Saab Elixir for woman,1,contained,1
73,Elixir — Aurora Scents,1,partial,1
74,Elle by Yves Saint Laurent,1,partial,1
75,Elysium Pour Homme Parfum Cologne — Roja Dove,1,subseq,0
76,English Pear & Freesia Jo Malone London,1,contained,1
77,Envy Me — Gucci,1,prefix,0
78,Escada Magnetism — Escada,1,contained,1
79,Escada Moon Sparkle — Escada,1,prefix,0
80,Escape for Men — Calvin Klein,1,prefix,0
81,Essential Sport by Lacoste Fragrances,1,contained,1
82,Eternity for Men Eau de Parfum — Calvin Klein,1,prefix,0
83,Euphoria Blossom Calvin Klein,1,subseq,0
84,Fantasia Mermaid — Anna Sui,1,contained,1
85,Fantasy The Naughty Remix — Britney Spears,1,prefix,0
86,Femme — Hugo Boss,1,prefix,0
87,Ferrari Black Ferrari for men,1,contained,1
88,Ferrari Black — Ferrari,1,contained,1
89,Flight Of Fancy Anna Sui,1,contained,1
90,Flora by Gucci Eau de Parfum,1,prefix,0
91,Flower by Kenzo,1,prefix,0
92,Gardenia — Zara,1,partial,1
93,Gentleman Eau de Parfum Givenchy,1,contained,1
94,Ginza Murasaki Shiseido,1,subseq,0
95,Glow — Jennifer Lopez,1,prefix,0
96,Gold immortals by ex nihilo,1,contained,1
97,Gold Incense by Carolina Herrera Confidential,1,contained,1
98,Green Irish Tweed Creed,1,partial,1
99,Green Tea Elizabeth Arden,1,prefix,0
100,Gucci Bloom — Gucci,1,prefix,0
101,Gucci Rush 2 by Gucci,1,prefix,0
102,Guess for Women Guess,1,prefix,0
103,Guess Girl Summer Guess for women,1,prefix,0
104,Guess Seductive — Guess,1,prefix,0
105,Gypsy Water — Byredo,1,prefix,0
106,Herod — Parfums de Marly,1,subseq,0
107,Hipster Oud Zara,1,contained,1
108,Hugo XX — Hugo Boss,1,prefix,0
109,Hugo XY by Hugo Boss,1,prefix,0
110,Incanto Shine — Salvatore Ferragamo,1,subseq,0
111,Individuel Montblanc for men,1,prefix,0
112,Insolence Eau de Parfum Guerlain,1,contained,1
113,Instant Crush — Mancera,1,contained,1
114,Intense Cafe Montale,1,prefix,0
115,Jaguar For Men Jaguar,1,contained,1
116,Jaguar Vision by Jaguar,1,prefix,0
117,Jorge di Profondo by Maison Alhambra,1,contained,1
118,Kirkè Tiziana Terenzi,1,prefix,0
119,L'Immensité by Louis Vuitton,1,contained,1
120,La Nuit Trésor — Lancôme,1,contained,1
121,La Vie Est Belle — Lancôme,1,partial,1
122,Lacoste Pour Femme Légère Lacoste Fragrances,1,prefix,0
123,Lady Million by Rabanne,1,prefix,0
124,Lady Million Fabulous — Rabanne,1,prefix,0
125,Le Jour se Lève Louis Vuitton,1,partial,1
126,Le Parfum in White — Elie Saab,1,contained,1
127,Legend by Montblanc,1,contained,1
128,Les Sables Roses Louis Vuitton,1,contained,1
129,London for Men — Burberry,1,contained,1
130,London Playboy for men,1,prefix,0
131,L’eau d’Issey — Issey Miyake,1,prefix,0
132,L’Homme — Yves Saint Laurent,1,contained,1
133,Magnificently Dubai Zara,1,contained,1
134,Marfa — Memo Paris,1,contained,1
135,Miracle Lancôme for women,1,prefix,0
136,Miss Dior Blooming Bouquet Dior,1,prefix,0
137,Miss Dior Rose N’Roses Dior,1,subseq,0
138,Miu Miu — Miu Miu,1,prefix,0
139,Mr. Burberry Burberry for men,1,prefix,0
140,My Way — Giorgio Armani,1,prefix,0
141,Nautica Voyage Nautica for men,1,prefix,0
142,Noir Anthracite — Tom Ford,1,contained,1
143,Noir by Tom Ford,1,prefix,0
144,Noir Tom Ford,1,partial,1
145,Nomade — Chloé,1,prefix,0
146,Nouveau Monde Louis Vuitton,1,contained,1
147,N°1 de Chanel L’Eau Rouge Chanel,1,prefix,0
148,Olympéa Flora Rabanne / Paco Rabanne,1,prefix,0
149,Olympéa — Rabanne,1,prefix,0
150,Ombré Leather (2018) Tom Ford,1,contained,1
151,Omnia Green Jade Bvlgari,1,prefix,0
152,Oriental — Zara,1,partial,1
153,Oud & Bergamot Jo Malone London,1,contained,1
154,Oud & Musc Cartier,1,partial,1
155,Oud Silk Mood Maison Francis Kurkdjian,1,subseq,0
156,Oud Wood Tom Ford,1,prefix,0
157,Penhaligon's Terrible Teddy,1,prefix,0
158,Phantom — Rabanne,1,partial,1
159,Philosykos Eau de Toilette Diptyque,1,prefix,0
160,Pitbull Man — Pitbull,1,prefix,0
161,Pleasures — Estée Lauder,1,prefix,0
162,Polo Ralph Lauren / Polo Green,1,contained,1
163,Popcorn — Demeter Fragrance,1,partial,1
164,Prada Candy — Prada,1,partial,1
165,Romantic Victoria’s Secret,1,contained,1
166,Rose des Vents Louis Vuitton,1,contained,1
167,Rose Noir Byredo,1,contained,1
168,Roses Musk Montale,1,contained,1
169,Roses Vanille Mancera,1,contained,1
170,Rouge Hermès Hermès,1,prefix,0
171,S by Shakira — Shakira,1,prefix,0
172,Sauvage Dior for men,1,prefix,0
173,Scandal Pour Homme by Jean Paul Gaultier,1,contained,1
174,Secret Wish Magic Romance — Anna Sui,1,contained,1
175,Seduction in Black — Antonio Banderas,1,prefix,0
176,Sergio Tacchini Donna — Sergio Tacchini,1,prefix,0
177,Signorina — Salvatore Ferragamo,1,prefix,0
178,Spell On You Louis Vuitton,1,contained,1
179,Splendida Magnolia Sensuel — Bvlgari,1,prefix,0
180,Sui Dreams — Anna Sui,1,prefix,0
181,Sì — Giorgio Armani,1,prefix,0
182,Tease Candy Noir — Victoria’s Secret,1,prefix,0
183,Terre d’Hermès Hermès for men,1,prefix,0
184,"Thank U, Next — Ariana Grande",1,prefix,0
185,The Island — Voyage à Rodrigues,1,partial,1
186,The Matcha 26 Le Labo,1,contained,1
187,Tobacco Oud — Tom Ford,1,contained,1
188,Tobacco Vanille — Tom Ford,1,prefix,0
189,Twilly d’Hermès — Hermès,1,partial,1
190,Un Jardin Sur Le Nil — Hermès,1,partial,1
191,Vanilla Lace — Victoria’s Secret,1,prefix,0
192,Vanilla Latte — So...?,1,partial,1
193,Vanilla Sundae Victoria's Secret,1,contained,1
194,Vanilla — The Body Shop,1,prefix,0
195,Velvet Fantasy — Montale,1,contained,1
196,Versace Pour Femme Dylan Purple,1,subseq,0
197,Vibrant Leather Eau de Parfum — Zara,2,partial,1
198,VIP Black Red — Carolina Herrera,1,contained,1
199,Vodka on the Rocks by Kilian,1,contained,1
200,Wanted Eau de Parfum Azzaro,1,partial,1
201,Weekend for Men — Burberry,1,partial,1
202,White Musk The Body Shop,1,contained,1
203,Wild Bluebell — Jo Malone London,1,partial,1
204,Wild Leather Mancera,1,prefix,0
205,Wild Rose — Avril Lavigne,1,prefix,0
206,Y Eau de Parfum Yves Saint Laurent for men,1,contained,1
207,Zara Black Amber Zara,1,partial,1
